trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
131,False,"{'a': 0.7, 'e': 0.0873704056661038}",20,0,-23.160855798544816,"{0: 17, 1: 2, 2: 0, 3: 0, 4: 1}",0
132,False,"{'a': 0.7, 'e': 0.08703882797784893}",25,11,22.30887312621443,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
133,False,"{'a': 0.7, 'e': 0.086710996952412}",20,0,20.417592937445235,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
134,False,"{'a': 0.7, 'e': 0.08638684255813601}",25,5,20.603815675292203,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",1
135,False,"{'a': 0.7, 'e': 0.08606629658238704}",20,0,11.967053330124227,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
136,False,"{'a': 0.7, 'e': 0.08574929257125441}",25,4,-52.88269999912065,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 2}",1
137,False,"{'a': 0.7, 'e': 0.0854357657716761}",20,0,10.079233337221956,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
138,False,"{'a': 0.7, 'e': 0.08512565307587486}",20,10,21.594524078911466,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
139,False,"{'a': 0.7, 'e': 0.08481889296799709}",20,13,13.035500469286115,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
140,False,"{'a': 0.7, 'e': 0.08451542547285165}",20,8,18.777813169647857,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
141,False,"{'a': 0.7, 'e': 0.0842151921066519}",25,11,2.861777608342428,"{0: 13, 1: 0, 2: 0, 3: 1, 4: 0}",1
142,False,"{'a': 0.7, 'e': 0.08391813582966891}",20,0,15.530577532966303,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
143,False,"{'a': 0.7, 'e': 0.08362420100070908}",30,0,25.914283596268234,"{0: 29, 1: 0, 2: 1, 3: 0, 4: 0}",0
144,False,"{'a': 0.7, 'e': 0.08333333333333333}",20,13,11.492930436358787,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
145,False,"{'a': 0.7, 'e': 0.08304547985373997}",25,0,-18.703201929162695,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 1}",0
146,False,"{'a': 0.7, 'e': 0.0827605888602368}",20,10,10.216515640349016,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
147,False,"{'a': 0.7, 'e': 0.08247860988423225}",25,18,10.795606283997124,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
148,False,"{'a': 0.7, 'e': 0.08219949365267865}",25,0,35.085255848314475,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
149,False,"{'a': 0.7, 'e': 0.08192319205190406}",25,12,-33.71404103104319,"{0: 10, 1: 2, 2: 0, 3: 0, 4: 1}",1
150,False,"{'a': 0.7, 'e': 0.08164965809277261}",25,20,9.226103666909573,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
151,False,"{'a': 0.7, 'e': 0.08137884587711594}",20,1,-21.974474339020553,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 1}",1
152,False,"{'a': 0.7, 'e': 0.08111071056538127}",20,14,-14.117115033421483,"{0: 4, 1: 0, 2: 2, 3: 0, 4: 0}",1
153,False,"{'a': 0.7, 'e': 0.08084520834544433}",20,3,-49.89363860771694,"{0: 14, 1: 0, 2: 1, 3: 1, 4: 1}",1
154,False,"{'a': 0.7, 'e': 0.08058229640253803}",25,9,27.85318409606157,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
155,False,"{'a': 0.7, 'e': 0.08032193289024989}",20,6,23.240356865264456,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
156,False,"{'a': 0.7, 'e': 0.08006407690254357}",30,0,31.395162097180915,"{0: 29, 1: 0, 2: 1, 3: 0, 4: 0}",0
157,False,"{'a': 0.7, 'e': 0.07980868844676221}",20,12,15.347180995056915,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
158,False,"{'a': 0.7, 'e': 0.079555728417573}",30,0,37.8865827206819,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
159,False,"{'a': 0.7, 'e': 0.07930515857181442}",30,4,15.944982120541367,"{0: 25, 1: 0, 2: 0, 3: 1, 4: 0}",1
160,False,"{'a': 0.7, 'e': 0.07905694150420949}",30,13,29.457646620452316,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
161,False,"{'a': 0.7, 'e': 0.07881104062391006}",35,21,25.852139270506857,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
162,False,"{'a': 0.7, 'e': 0.07856742013183861}",20,8,22.33780830267098,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
163,False,"{'a': 0.7, 'e': 0.07832604499879574}",20,13,-23.031186862636392,"{0: 5, 1: 0, 2: 1, 3: 1, 4: 0}",1
164,False,"{'a': 0.7, 'e': 0.07808688094430304}",20,3,23.899310141510455,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
165,False,"{'a': 0.7, 'e': 0.0778498944161523}",25,0,24.44687696911527,"{0: 23, 1: 1, 2: 1, 3: 0, 4: 0}",0
166,False,"{'a': 0.7, 'e': 0.07761505257063328}",20,8,22.961738490549475,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
167,False,"{'a': 0.7, 'e': 0.07738232325341368}",20,14,11.401881365975976,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
168,False,"{'a': 0.7, 'e': 0.07715167498104596}",20,0,32.83305135537543,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
169,False,"{'a': 0.7, 'e': 0.07692307692307693}",30,16,22.68729654926007,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
